isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-4.3454,0.6508,-5.9151,-3.2698,44.58,<.0001
53,x1,1,2.5964,0.5280,1.6013,3.7092,24.18,<.0001
53,x2,1,1.6225,0.7003,0.3944,3.2486,5.37,0.0205
53,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
54,Intercept,1,-3.4309,0.4203,-4.3632,-2.6947,66.64,<.0001
54,x1,1,3.2387,0.5047,2.2722,4.2833,41.18,<.0001
54,x2,1,0.1284,0.4854,-0.8285,1.1021,0.07,0.7915
54,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
55,Intercept,1,-3.1160,0.3934,-3.9812,-2.4220,62.74,<.0001
55,x1,1,2.1914,0.4386,1.3459,3.0831,24.97,<.0001
55,x2,1,0.5265,0.4630,-0.3510,1.4869,1.29,0.2555
55,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
56,Intercept,1,-3.6100,0.5358,-4.8737,-2.7111,45.40,<.0001
56,x1,1,2.0423,0.4603,1.1729,2.9985,19.68,<.0001
56,x2,1,1.1378,0.6288,-0.0072,2.5271,3.27,0.0704
56,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
57,Intercept,1,-3.3664,0.4379,-4.3531,-2.6071,59.09,<.0001
57,x1,1,3.3584,0.5388,2.3478,4.4915,38.85,<.0001
57,x2,1,-0.2144,0.4777,-1.1269,0.7636,0.20,0.6535
57,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
58,Intercept,1,-3.9317,0.5163,-5.1047,-3.0451,57.98,<.0001
58,x1,1,2.8920,0.5191,1.9322,3.9971,31.04,<.0001
58,x2,1,1.2077,0.5580,0.1884,2.4169,4.68,0.0304
58,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
59,Intercept,1,-4.4923,0.6538,-6.0666,-3.4084,47.21,<.0001
59,x1,1,4.1941,0.6803,3.0154,5.7953,38.01,<.0001
59,x2,1,0.5680,0.4848,-0.3825,1.5524,1.37,0.2414
59,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
60,Intercept,1,-3.3308,0.4112,-4.2342,-2.6055,65.62,<.0001
60,x1,1,2.5978,0.4558,1.7332,3.5451,32.48,<.0001
60,x2,1,0.4177,0.4426,-0.4311,1.3261,0.89,0.3453
60,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
61,Intercept,1,-3.6884,0.4907,-4.8084,-2.8468,56.50,<.0001
61,x1,1,2.4779,0.4961,1.5657,3.5276,24.95,<.0001
61,x2,1,1.1575,0.5729,0.1101,2.3914,4.08,0.0434
61,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
62,Intercept,1,-3.1397,0.3772,-3.9735,-2.4764,69.28,<.0001
62,x1,1,2.9334,0.5742,1.8005,4.0680,26.10,<.0001
62,x2,1,-0.4000,0.5742,-1.5346,0.7329,0.49,0.4860
62,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
63,Intercept,1,-3.3530,0.4074,-4.2459,-2.6327,67.74,<.0001
63,x1,1,2.6927,0.4319,1.8895,3.6048,38.87,<.0001
63,x2,1,0.5026,0.4010,-0.2556,1.3330,1.57,0.2101
63,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
64,Intercept,1,-4.1613,0.5991,-5.5585,-3.1545,48.25,<.0001
64,x1,1,3.1586,0.6424,1.9984,4.5659,24.18,<.0001
64,x2,1,0.6773,0.6424,-0.4830,2.0846,1.11,0.2917
64,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
65,Intercept,1,-3.6962,0.5079,-4.8523,-2.8250,52.96,<.0001
65,x1,1,2.9007,0.5444,1.8798,4.0447,28.39,<.0001
65,x2,1,0.6281,0.5800,-0.4461,1.8690,1.17,0.2788
65,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
66,Intercept,1,-3.9461,0.5014,-5.0705,-3.0773,61.94,<.0001
66,x1,1,2.7502,0.4997,1.8307,3.8233,30.29,<.0001
66,x2,1,1.2746,0.4997,0.3551,2.3476,6.51,0.0107
66,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
67,Intercept,1,-3.7073,0.5051,-4.8573,-2.8412,53.87,<.0001
67,x1,1,3.0455,0.5828,1.9116,4.2394,27.31,<.0001
67,x2,1,0.5460,0.6057,-0.6069,1.8186,0.81,0.3673
67,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
68,Intercept,1,-3.0699,0.3802,-3.9040,-2.3981,65.21,<.0001
68,x1,1,2.4302,0.4766,1.5082,3.3960,26.00,<.0001
68,x2,1,0.2503,0.4766,-0.6717,1.2161,0.28,0.5994
68,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
69,Intercept,1,-3.5025,0.4762,-4.5967,-2.6884,54.10,<.0001
69,x1,1,2.2623,0.4621,1.3957,3.2238,23.96,<.0001
69,x2,1,1.1648,0.5767,0.0977,2.4019,4.08,0.0434
69,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
70,Intercept,1,-3.7581,0.4952,-4.8866,-2.9080,57.60,<.0001
70,x1,1,2.4555,0.4826,1.5711,3.4812,25.89,<.0001
70,x2,1,1.2442,0.5599,0.2276,2.4592,4.94,0.0263
70,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
71,Intercept,1,-4.2095,0.6430,-5.7672,-3.1499,42.85,<.0001
71,x1,1,1.9499,0.5509,0.8993,3.0992,12.53,0.0004
71,x2,1,1.7203,0.7161,0.4496,3.3667,5.77,0.0163
71,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
72,Intercept,1,-4.6512,0.8498,-6.8312,-3.3165,29.96,<.0001
72,x1,1,4.2949,1.0116,2.5794,6.6143,18.02,<.0001
72,x2,1,-0.1341,1.0117,-1.8496,2.1853,0.02,0.8945
72,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
73,Intercept,1,-2.9016,0.3323,-3.6214,-2.3079,76.27,<.0001
73,x1,1,2.3087,0.4110,1.5256,3.1439,31.55,<.0001
73,x2,1,0.3544,0.4211,-0.4473,1.2119,0.71,0.3999
73,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
74,Intercept,1,-3.5256,0.4344,-4.4889,-2.7650,65.87,<.0001
74,x1,1,2.9641,0.4756,2.0818,3.9700,38.85,<.0001
74,x2,1,0.6470,0.4531,-0.2000,1.5955,2.04,0.1533
74,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
75,Intercept,1,-2.9609,0.3658,-3.7599,-2.3115,65.51,<.0001
75,x1,1,2.5045,0.4172,1.6875,3.3396,36.04,<.0001
75,x2,1,0.4480,0.4391,-0.3904,1.3518,1.04,0.3077
75,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
76,Intercept,1,-3.3186,0.4157,-4.2356,-2.5879,63.74,<.0001
76,x1,1,2.4994,0.4703,1.6040,3.4711,28.24,<.0001
76,x2,1,0.6821,0.4703,-0.2133,1.6538,2.10,0.1470
76,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
77,Intercept,1,-4.0853,0.6311,-5.6366,-3.0570,41.90,<.0001
77,x1,1,1.9437,0.4505,1.0967,2.8870,18.62,<.0001
77,x2,1,2.1051,0.7203,0.8229,3.7673,8.54,0.0035
77,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
78,Intercept,1,-4.1844,0.6182,-5.6200,-3.1434,45.81,<.0001
78,x1,1,2.9053,0.6428,1.7097,4.3017,20.43,<.0001
78,x2,1,0.6929,0.6428,-0.5027,2.0892,1.16,0.2811
78,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
79,Intercept,1,-3.3266,0.4030,-4.2239,-2.6208,68.13,<.0001
79,x1,1,3.1771,0.4577,2.3325,4.1542,48.19,<.0001
79,x2,1,0.2854,0.3722,-0.4358,1.0356,0.59,0.4432
